title 5	description 2	2023-10-15T09:06:27.330Z	Brussels	preview-4.jpg	photo -6.jpg	false	false	3	House	3	3	72170	Laptop friendly workspace;Baby seat;Washer	7	4.351697;50.846557	author-3	keks@cot.net	keks2.jpg	false
title 2	description 2	2023-10-13T09:06:27.332Z	Cologne	preview-3.jpg	photo -2.jpg	true	false	3	Hotel	4	7	19576	Air conditioning;Laptop friendly workspace;Baby seat	3	6.959974;50.938361	author-3	keks@cot.tut	keks2.jpg	false
title 1	description 3	2023-10-11T09:06:27.333Z	Cologne	preview-4.jpg	photo -1.jpg	true	true	4	Room	1	3	31724	Baby seat;Washer;Towels;Fridge	7	6.959974;50.938361	author-2	keks@cot.net	keks1.jpg	true
title 5	description 1	2023-10-17T09:06:27.333Z	Cologne	preview-4.jpg	photo -5.jpg	false	true	3	Room	5	4	43301	Baby seat;Washer;Towels;Fridge	4	6.959974;50.938361	author-3	keks@cot.tut	keks2.jpg	true
title 5	description 2	2023-10-15T09:06:27.333Z	Cologne	preview-4.jpg	photo -4.jpg	false	false	3	Room	7	9	87287	Breakfast;Air conditioning;Laptop friendly workspace;Baby seat	4	6.959974;50.938361	author-2	keks@cot.da	keks1.jpg	true
title 5	description 1	2023-10-16T09:06:27.333Z	Cologne	preview-2.jpg	photo -6.jpg	true	true	4	Room	1	6	4784	Breakfast;Air conditioning;Laptop friendly workspace;Baby seat;Washer	4	6.959974;50.938361	author-2	keks@cot.net	keks2.jpg	false
title 1	description 4	2023-10-14T09:06:27.333Z	Paris	preview-3.jpg	photo -2.jpg	true	false	3	House	1	6	37515	Air conditioning;Laptop friendly workspace;Baby seat;Washer	7	2.351499;48.85661	author-2	keks@cot.net	keks1.jpg	true
title 3	description 1	2023-10-17T09:06:27.333Z	Brussels	preview-3.jpg	photo -5.jpg	true	true	3	Room	3	9	98966	Air conditioning;Laptop friendly workspace;Baby seat;Washer;Towels;Fridge	7	4.351697;50.846557	author-1	keks@cot.wot	keks1.jpg	true
title 1	description 5	2023-10-15T09:06:27.333Z	Hamburg	preview-4.jpg	photo -4.jpg	false	true	1	Hotel	2	6	79211	Towels;Fridge	1	10.000654;53.550341	author-2	keks@cot.tut	keks1.jpg	true
title 4	description 6	2023-10-14T09:06:27.334Z	Cologne	preview-3.jpg	photo -5.jpg	false	false	2	Room	2	1	19842	Towels;Fridge	10	6.959974;50.938361	author-3	keks@cot.tut	keks1.jpg	false
title 3	description 4	2023-10-14T09:06:27.334Z	Amsterdam	preview-3.jpg	photo -4.jpg	false	false	2	Apartment	2	6	86647	Air conditioning;Laptop friendly workspace	4	4.895168;52.370216	author-3	keks@cot.gde	keks1.jpg	false
title 5	description 2	2023-10-14T09:06:27.334Z	Brussels	preview-3.jpg	photo -2.jpg	false	true	4	Hotel	3	3	77513	Laptop friendly workspace;Baby seat;Washer	5	4.351697;50.846557	author-2	keks@cot.gde	keks2.jpg	false
title 2	description 3	2023-10-15T09:06:27.334Z	Cologne	preview-4.jpg	photo -1.jpg	false	false	5	House	3	6	17269	Baby seat;Washer;Towels;Fridge	9	6.959974;50.938361	author-2	keks@cot.net	keks2.jpg	false
title 6	description 3	2023-10-12T09:06:27.334Z	Amsterdam	preview-4.jpg	photo -1.jpg	true	false	3	Hotel	2	4	87712	Washer;Towels;Fridge	1	4.895168;52.370216	author-2	keks@cot.da	keks2.jpg	true
title 3	description 2	2023-10-11T09:06:27.334Z	Amsterdam	preview-4.jpg	photo -4.jpg	false	false	3	Apartment	2	5	71206	Baby seat;Washer;Towels;Fridge	9	4.895168;52.370216	author-1	keks@cot.gde	keks2.jpg	true
